BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB1;DN0211;175;bsc224371_bsf175_4080;3;DN0211>DN9110;-32.81 dBm;-120.00 dBm;-47.4 dBm;-46.70 dBm;20;Off;14476500 (kHz)
DNEB1;DN0211;175;bsc224371_bsf175_4080;2;DN0211>DN9001;-32.55 dBm;-120.00 dBm;-38.3 dBm;-45.66 dBm;17;Off;22029000 (kHz)
DNEB1;DN0259;85;bsc224371_bsf85_4080;2;DN0259>DN0064;-30.90 dBm;-120.00 dBm;-40.2 dBm;-40.46 dBm;20;Off;14921000 (kHz)
DNEB1;DN0191;259;bsc224371_bcf259_4080;2;DN0191>DN0080;-34.61 dBm;-120.00 dBm;-38.5 dBm;-37.38 dBm;12;Off;22350996 (kHz)
DNEB1;DN0186;169;bsc224371_bcf169_4080;2;DN0186>DN0185;-31.97 dBm;-120.00 dBm;-39.6 dBm;-46.15 dBm;8;Off;23037000 (kHz)
DNEB1;DNI901;70;bsc224371_bcf70_4087;4;DNI901_DN0064;;;-42.5 dBm;;13;Off;23166499 (kHz)
DNEB1;DN0066;97;bsc224371_bsf97_4080;6;DN0066>DN0252;-36.43 dBm;-120.00 dBm;-41.3 dBm;-45.79 dBm;15;Off;23079000 (kHz)
DNEB1;DN0066;97;bsc224371_bsf97_4080;8;DN0066>DN0100_2;;;-42.1 dBm;;18;Off;23058000 (kHz)
DNEB1;DN0066;97;bsc224371_bsf97_4080;3;DN0066>DN0119_1;;;-46.4 dBm;;18;Off;23198000 (kHz)
DNEB1;DN0066;97;bsc224371_bsf97_4080;2;DN0066>DN0100_1;;;-33.8 dBm;;18;Off;23366000 (kHz)
DNEB1;DN0066;97;bsc224371_bsf97_4080;5;DN0066>DN0119_2;-41.33 dBm;-120.00 dBm;-44.8 dBm;-45.80 dBm;18;Off;23114000 (kHz)
DNEB1;DN0252;182;bsc224371_bsf182_4087;4;DN0252_DN0066;-38.43 dBm;-120.00 dBm;-41.8 dBm;-40.91 dBm;15;Off;22071000 (kHz)
DNEB1;DN0252;182;bsc224371_bsf182_4087;5;DN0252>DN0272;;;-41.9 dBm;;14;Off;22078000 (kHz)
DNEB1;DN0139;229;bsc224371_bcf229_4080;6;DN0139>DN0054;;;-39.8 dBm;;15;Off;23117500 (kHz)
DNEB1;DN0139;229;bsc224371_bcf229_4080;11;DN0139>DN0058;;;-42.8 dBm;;18;Off;23198001 (kHz)
DNEB1;DN0139;229;bsc224371_bcf229_4080;4;DN0139>DN0055;-34.10 dBm;-120.00 dBm;-43.3 dBm;-40.21 dBm;12;Off;23131500 (kHz)
DNEB1;DN0139;229;bsc224371_bcf229_4080;9;DN0139>DN0053;;;-45.1 dBm;;16;Off;23142000 (kHz)
DNEB1;DN0139;229;bsc224371_bcf229_2;4;DN0139>DN0192;-34.81 dBm;-120.00 dBm;-38.5 dBm;-44.32 dBm;17;Off;23362500 (kHz)
DNEB1;DN0272;91;bsc224371_bsf91_4080;2;DN0272>DN0252;-32.34 dBm;-120.00 dBm;-40.9 dBm;-40.43 dBm;14;Off;23086000 (kHz)
DNEB1;DN0188;247;bsc224371_bcf247_4080;2;DN0188>DN0056;-37.48 dBm;-120.00 dBm;-39.3 dBm;-39.36 dBm;3;Off;22200500 (kHz)
DNEB1;DN0185;235;bsc224371_bcf235_4080;3;DN0185>DN0186;-39.34 dBm;-120.00 dBm;-41.2 dBm;-40.74 dBm;8;Off;22029000 (kHz)
DNEB1;DN0185;235;bsc224371_bcf235_4080;2;DN0185>DN0056;-36.63 dBm;-120.00 dBm;-38.2 dBm;-37.90 dBm;10;Off;22050000 (kHz)
DNEB8;DN2246;421;bsc212526_bcf421_4080;2;DN2246>;-41.08 dBm;-120.00 dBm;-42.9 dBm;-44.47 dBm;6;Off;23131500 (kHz)
DNEB8;DN2297;73;bsc212526_bcf73_4087;4;DN2297_DN2202;-34.58 dBm;-120.00 dBm;-37.1 dBm;-35.54 dBm;15;Off;23051000 (kHz)
DNEB8;DN2297;73;bsc212526_bcf73_4087;5;DN2297-DN2262;-40.91 dBm;-120.00 dBm;-42.8 dBm;-42.21 dBm;5;Off;23037000 (kHz)
DNEB8;DN2272;469;bsc212526_bcf469_4080;2;DN2272>DN2231;-26.99 dBm;-120.00 dBm;-46.6 dBm;-44.71 dBm;7;Off;23201500 (kHz)
DNEB8;DN2238;403;bsc212526_bcf403_4080;2;DN2238>DN2249;-28.75 dBm;-120.00 dBm;-41.1 dBm;-45.08 dBm;8;Off;23194500 (kHz)
DNEB8;DN2244;415;bsc212526_bcf415_4080;3;DN2244>DN2233;;;-42.0 dBm;;14;Off;22361500 (kHz)
DNEB8;DN2244;415;bsc212526_bcf415_4080;2;DN2244>DN2208;;;-38.2 dBm;;9;Off;22049996 (kHz)
